time	V(vout)
Step Information: X=1  (Run: 1/5)
3.000221079994803e-03	-1.725146e-01
3.000274689256066e-03	-1.336236e-01
3.000381907778592e-03	-6.531322e-02
3.000537135993363e-03	1.641029e-02
3.000694535298259e-03	8.100699e-02
3.000876999730600e-03	1.364542e-01
3.001105191302620e-03	1.855920e-01
3.001379909097941e-03	2.248034e-01
3.001708242514528e-03	2.533610e-01
3.002097276355233e-03	2.720838e-01
3.002571253800778e-03	2.832742e-01
3.003160306810013e-03	2.890981e-01
3.003928735361993e-03	2.916172e-01
3.004985274412338e-03	2.923987e-01
3.006588076014626e-03	2.924741e-01
3.250099999999999e-03	2.785782e-01
3.250109892898083e-03	2.784511e-01
3.250129678694251e-03	2.775261e-01
3.250160428407662e-03	2.729782e-01
3.250199999999998e-03	2.624981e-01
3.250203957159230e-03	2.605828e-01
3.250211871477698e-03	2.564215e-01
3.250227700114634e-03	2.468523e-01
3.250254576894797e-03	2.282959e-01
3.250283543008197e-03	2.065236e-01
3.250320894766671e-03	1.778529e-01
3.250374149337345e-03	1.391897e-01
3.250480658478695e-03	7.123800e-02
3.250635640692643e-03	-1.051770e-02
3.250793000976016e-03	-7.537226e-02
3.250969910534390e-03	-1.295268e-01
3.251196074337222e-03	-1.788197e-01
3.251465034856488e-03	-2.179535e-01
3.251790882763762e-03	-2.470326e-01
3.252172116860300e-03	-2.660349e-01
3.252640473582737e-03	-2.775994e-01
3.253215708313606e-03	-2.836473e-01
3.253969414851617e-03	-2.863301e-01
3.254991865090491e-03	-2.871899e-01
3.256539804079681e-03	-2.872957e-01
3.264492297282113e-03	-2.868502e-01
3.500000000000000e-03	-2.736524e-01
3.500010000000001e-03	-2.735206e-01
3.500030000000001e-03	-2.725892e-01
3.500059999999999e-03	-2.681514e-01
3.500099999999999e-03	-2.575622e-01
3.500104000000000e-03	-2.556246e-01
3.500112000000000e-03	-2.514119e-01
3.500127999999998e-03	-2.417245e-01
3.500154764550813e-03	-2.232253e-01
3.500183803503719e-03	-2.013865e-01
3.500221089682655e-03	-1.727714e-01
3.500274704778567e-03	-1.338770e-01
3.500381934970393e-03	-6.556109e-02
3.500537155880168e-03	1.615572e-02
3.500694556229395e-03	8.075534e-02
3.500876776911195e-03	1.361378e-01
3.501104887846579e-03	1.852765e-01
3.501379355258325e-03	2.244787e-01
3.501707588564332e-03	2.530547e-01
3.502096282576514e-03	2.717866e-01
3.502570025423320e-03	2.829912e-01
3.503158476811357e-03	2.888236e-01
3.503926279328901e-03	2.913493e-01
3.504981329231657e-03	2.921339e-01
3.506581756509437e-03	2.922105e-01
3.750099999999999e-03	2.783270e-01
3.750109999999997e-03	2.781951e-01
3.750129999999997e-03	2.772638e-01
3.750159999999999e-03	2.728260e-01
3.750199999999999e-03	2.622369e-01
3.750204000000000e-03	2.602992e-01
3.750211999999999e-03	2.560866e-01
3.750227999999998e-03	2.463984e-01
3.750254817987946e-03	2.278601e-01
3.750283887490317e-03	2.059969e-01
3.750321260924533e-03	1.773169e-01
3.750374979122617e-03	1.383604e-01
3.750482415518785e-03	6.994788e-02
3.750637513044410e-03	-1.165326e-02
3.750794931500743e-03	-7.630519e-02
3.750972787935739e-03	-1.305251e-01
3.751199449130348e-03	-1.796774e-01
3.751469446512390e-03	-2.187117e-01
3.751795896607540e-03	-2.476205e-01
3.752178544683946e-03	-2.665127e-01
3.752648122890789e-03	-2.779750e-01
3.753225916372917e-03	-2.839613e-01
3.753982654686634e-03	-2.866047e-01
3.755011505836358e-03	-2.874464e-01
3.756570334359423e-03	-2.875457e-01
3.775332004298790e-03	-2.864798e-01
4.000000000000000e-03	-2.738914e-01
4.000010000000002e-03	-2.737597e-01
4.000030000000002e-03	-2.728283e-01
4.000060000000000e-03	-2.683904e-01
4.000099999999999e-03	-2.578013e-01
4.000104000000001e-03	-2.558636e-01
4.000112000000000e-03	-2.516509e-01
4.000127999999999e-03	-2.419635e-01
4.000154767284159e-03	-2.234623e-01
4.000183807799665e-03	-2.016222e-01
4.000221098444088e-03	-1.730038e-01
4.000274718812296e-03	-1.341062e-01
4.000381959548712e-03	-6.578538e-02
4.000537173878743e-03	1.592538e-02
4.000694575170095e-03	8.052763e-02
4.000876575031467e-03	1.358515e-01
4.001104612882309e-03	1.849909e-01
4.001378853529396e-03	2.241848e-01
4.001706996185010e-03	2.527775e-01
4.002095382531986e-03	2.715176e-01
4.002568913025358e-03	2.827351e-01
4.003156819967078e-03	2.885753e-01
4.003924056072250e-03	2.911068e-01
4.004977759293073e-03	2.918943e-01
4.006576040286695e-03	2.919720e-01
4.250100000000000e-03	2.780996e-01
4.250109999999998e-03	2.779678e-01
4.250129999999998e-03	2.770364e-01
4.250159999999999e-03	2.725986e-01
4.250199999999999e-03	2.620096e-01
4.250204000000000e-03	2.600719e-01
4.250212000000000e-03	2.558592e-01
