time	V(vout)	V(n002)
Step Information: X=1  (Run: 1/5)
5.001120000000005e-04	-2.493468e-01	-2.304047e-01
5.001279999999990e-04	-2.396598e-01	-2.702991e-01
5.001547409108249e-04	-2.211779e-01	-3.002822e-01
5.001837663463696e-04	-1.993499e-01	-3.101098e-01
5.002210139405175e-04	-1.707635e-01	-3.120539e-01
5.002745834377480e-04	-1.318966e-01	-3.123140e-01
5.003817224322124e-04	-6.362353e-02	-3.122963e-01
5.005370014491729e-04	1.814613e-02	-3.122663e-01
5.006943935761919e-04	8.272308e-02	-3.122408e-01
5.008785118334122e-04	1.386090e-01	-3.122155e-01
5.011072495714093e-04	1.877405e-01	-3.121892e-01
5.013836682080733e-04	2.270138e-01	-3.121622e-01
5.017126822553508e-04	2.554462e-01	-3.121347e-01
5.021040278198677e-04	2.741078e-01	-3.121057e-01
5.025796025254110e-04	2.852018e-01	-3.120732e-01
5.031727553699399e-04	2.909678e-01	-3.120348e-01
5.039454541962037e-04	2.934434e-01	-3.119860e-01
5.050121705545349e-04	2.942038e-01	-3.119192e-01
5.066312270194315e-04	2.942709e-01	-3.118182e-01
7.501000000000001e-04	2.802912e-01	-2.969985e-01
7.501046958899027e-04	2.802817e-01	-2.902664e-01
7.501140876697079e-04	2.801790e-01	-2.669055e-01
7.501328712293219e-04	2.792684e-01	-1.929919e-01
7.501613597308207e-04	2.762945e-01	-5.205123e-02
7.501688640220161e-04	2.748596e-01	-1.084299e-02
7.501838726044069e-04	2.704614e-01	7.567098e-02
7.501999999999995e-04	2.646344e-01	1.697156e-01
7.502016127395594e-04	2.638851e-01	1.786219e-01
7.502048382186793e-04	2.623276e-01	1.949703e-01
7.502112891769157e-04	2.589378e-01	2.212838e-01
7.502241910933884e-04	2.512152e-01	2.551827e-01
7.502499949263372e-04	2.336264e-01	2.879387e-01
7.502785136775068e-04	2.123516e-01	3.000979e-01
7.503149906984835e-04	1.842765e-01	3.027216e-01
7.503637717605170e-04	1.483794e-01	3.030879e-01
7.504613338845806e-04	8.474287e-02	3.030789e-01
7.506160914051221e-04	6.975519e-04	3.030484e-01
7.507728574238613e-04	-6.635708e-02	3.030227e-01
7.509403850550003e-04	-1.198927e-01	3.029993e-01
7.511614114647236e-04	-1.706459e-01	3.029736e-01
7.514202942442323e-04	-2.108609e-01	3.029479e-01
7.517401354449615e-04	-2.417364e-01	3.029210e-01
7.521077282201631e-04	-2.619048e-01	3.028937e-01
7.525641097671024e-04	-2.745517e-01	3.028630e-01
7.531148544132650e-04	-2.812511e-01	3.028280e-01
7.538393758688040e-04	-2.843573e-01	3.027833e-01
7.548014910287379e-04	-2.854130e-01	3.027248e-01
7.562472954667256e-04	-2.855911e-01	3.026372e-01
7.586307921242687e-04	-2.854784e-01	3.024930e-01
1.000000000000001e-03	-2.720230e-01	2.882368e-01
1.000009999999999e-03	-2.718912e-01	2.641721e-01
1.000029999999999e-03	-2.709598e-01	1.927175e-01
1.000060000000001e-03	-2.665220e-01	4.620911e-02
1.000100000000000e-03	-2.559328e-01	-1.777352e-01
1.000104000000002e-03	-2.539951e-01	-1.976673e-01
1.000112000000001e-03	-2.497824e-01	-2.299434e-01
1.000127999999999e-03	-2.400953e-01	-2.698368e-01
1.000154745897784e-03	-2.216098e-01	-2.998228e-01
1.000183774184839e-03	-1.997794e-01	-3.096495e-01
1.000221029920513e-03	-1.711871e-01	-3.115926e-01
1.000274609035966e-03	-1.323143e-01	-3.118525e-01
1.000381767266873e-03	-6.403221e-02	-3.118348e-01
1.000537033833983e-03	1.772620e-02	-3.118048e-01
1.000694427706918e-03	8.230792e-02	-3.117793e-01
1.000878147184445e-03	1.380881e-01	-3.117541e-01
1.001106753380526e-03	1.872212e-01	-3.117278e-01
1.001382761580741e-03	2.264796e-01	-3.117009e-01
1.001711611292335e-03	2.549422e-01	-3.116734e-01
1.002102398481600e-03	2.736186e-01	-3.116444e-01
1.002577587169221e-03	2.847357e-01	-3.116121e-01
1.003169748582073e-03	2.905157e-01	-3.115737e-01
1.003941414117797e-03	2.930018e-01	-3.115250e-01
1.005005664690740e-03	2.937672e-01	-3.114585e-01
1.006620778423374e-03	2.938363e-01	-3.113579e-01
1.250100000000001e-03	2.798769e-01	-2.965595e-01
1.250110000000002e-03	2.797450e-01	-2.724951e-01
1.250130000000002e-03	2.788137e-01	-2.010412e-01
1.250160000000000e-03	2.743759e-01	-5.453200e-02
1.250200000000000e-03	2.637869e-01	1.694162e-01
1.250204000000001e-03	2.618492e-01	1.893487e-01
1.250212000000001e-03	2.576365e-01	2.216251e-01
1.250227999999999e-03	2.479482e-01	2.615004e-01
1.250254835685929e-03	2.293969e-01	2.915393e-01
1.250283915304740e-03	2.075256e-01	3.013488e-01
1.250321317640388e-03	1.788241e-01	3.032759e-01
1.250375069994879e-03	1.398470e-01	3.035313e-01
1.250482574703858e-03	7.140258e-02	3.035131e-01
1.250637633673394e-03	-1.016136e-02	3.034835e-01
1.250795057988748e-03	-7.483098e-02	3.034583e-01
1.250971445297858e-03	-1.286579e-01	3.034343e-01
1.251197616001318e-03	-1.778141e-01	3.034086e-01
1.251466114235343e-03	-2.167904e-01	3.033827e-01
1.251791968172905e-03	-2.458121e-01	3.033558e-01
1.252172597467769e-03	-2.647579e-01	3.033280e-01
1.252640789189779e-03	-2.763079e-01	3.032968e-01
1.253215043194880e-03	-2.823464e-01	3.032604e-01
1.253968118518151e-03	-2.850302e-01	3.032141e-01
1.254988345163181e-03	-2.858916e-01	3.031520e-01
1.256533552289191e-03	-2.859989e-01	3.030583e-01
1.264457595679915e-03	-2.855573e-01	3.025785e-01
1.500000000000001e-03	-2.724171e-01	2.886551e-01
1.500009663035668e-03	-2.722996e-01	2.658752e-01
1.500028989107002e-03	-2.713882e-01	1.971839e-01
1.500061347857330e-03	-2.666028e-01	3.915036e-02
1.500100000000001e-03	-2.563564e-01	-1.773112e-01
1.500103865214267e-03	-2.544894e-01	-1.966871e-01
1.500111595642801e-03	-2.504383e-01	-2.282732e-01
1.500127056499868e-03	-2.411249e-01	-2.676688e-01
1.500153991212241e-03	-2.225812e-01	-2.988870e-01
1.500182690648194e-03	-2.010400e-01	-3.091235e-01
1.500219878599822e-03	-1.724776e-01	-3.111566e-01
1.500272008562838e-03	-1.345251e-01	-3.114348e-01
1.500376268488871e-03	-6.769137e-02	-3.114184e-01
1.500531168096116e-03	1.455014e-02	-3.113883e-01
1.500688377126479e-03	7.975763e-02	-3.113627e-01
1.500869565107844e-03	1.354656e-01	-3.113377e-01
1.501096760079167e-03	1.850381e-01	-3.113114e-01
1.501369939963835e-03	2.246309e-01	-3.112846e-01
1.501697056800394e-03	2.535866e-01	-3.112571e-01
1.502083948274561e-03	2.725915e-01	-3.112283e-01
1.502555650590393e-03	2.839976e-01	-3.111962e-01
1.503140660725533e-03	2.899521e-01	-3.111583e-01
1.503903658055129e-03	2.925460e-01	-3.111102e-01
1.504949684003061e-03	2.933601e-01	-3.110449e-01
1.506533227673884e-03	2.934460e-01	-3.109463e-01
1.750100000000001e-03	2.795020e-01	-2.961618e-01
1.750110000000003e-03	2.793702e-01	-2.720977e-01
1.750130000000003e-03	2.784388e-01	-2.006440e-01
1.750160000000001e-03	2.740010e-01	-5.413476e-02
1.750200000000000e-03	2.634120e-01	1.698133e-01
1.750204000000002e-03	2.614743e-01	1.897457e-01
1.750212000000001e-03	2.572616e-01	2.220221e-01
1.750228000000000e-03	2.475733e-01	2.618982e-01
1.750254831405357e-03	2.290252e-01	2.919347e-01
1.750283908577236e-03	2.071558e-01	3.017450e-01
1.750321303924815e-03	1.784595e-01	3.036728e-01
1.750375048017200e-03	1.394875e-01	3.039285e-01
1.750482536201973e-03	7.105075e-02	3.039103e-01
1.750637604392855e-03	-1.052214e-02	3.038807e-01
1.750795027297174e-03	-7.518746e-02	3.038554e-01
1.750971770963380e-03	-1.291098e-01	3.038314e-01
1.751198060753013e-03	-1.782651e-01	3.038056e-01
1.751466922365316e-03	-2.172555e-01	3.037797e-01
1.751792920710277e-03	-2.462498e-01	3.037528e-01
1.752174038926736e-03	-2.651826e-01	3.037249e-01
1.752642566235790e-03	-2.767113e-01	3.036937e-01
1.753217676567196e-03	-2.827371e-01	3.036572e-01
1.753971637557274e-03	-2.854111e-01	3.036108e-01
1.754993947305727e-03	-2.862677e-01	3.035485e-01
1.756542441104018e-03	-2.863730e-01	3.034544e-01
1.764494562100073e-03	-2.859290e-01	3.029724e-01
2.000000000000002e-03	-2.727737e-01	2.890329e-01
2.000007766488190e-03	-2.727177e-01	2.730881e-01
2.000023299464568e-03	-2.721805e-01	2.222639e-01
2.000054365417323e-03	-2.697186e-01	8.189975e-02
2.000063271476289e-03	-2.682900e-01	3.466483e-02
2.000081083594223e-03	-2.635116e-01	-6.745686e-02
2.000099999999998e-03	-2.569534e-01	-1.775659e-01
2.000101891640575e-03	-2.560700e-01	-1.878945e-01
2.000105674921728e-03	-2.542227e-01	-2.065626e-01
2.000113241484039e-03	-2.501585e-01	-2.355101e-01
2.000128374608660e-03	-2.408195e-01	-2.703608e-01
2.000158640857900e-03	-2.196466e-01	-3.011218e-01
2.000186134629205e-03	-1.988800e-01	-3.094891e-01
2.000227215594064e-03	-1.673524e-01	-3.108828e-01
2.000279804061183e-03	-1.293880e-01	-3.110658e-01
2.000384980995425e-03	-6.283043e-02	-3.110379e-01
2.000540111819018e-03	1.836608e-02	-3.110091e-01
2.000697169679915e-03	8.247551e-02	-3.109835e-01
2.000882102255675e-03	1.383193e-01	-3.109584e-01
2.001110549308745e-03	1.871247e-01	-3.109322e-01
2.001387670793418e-03	2.262640e-01	-3.109053e-01
2.001716338066846e-03	2.544934e-01	-3.108779e-01
2.002108554143615e-03	2.730702e-01	-3.108490e-01
2.002583892914935e-03	2.840815e-01	-3.108167e-01
2.003178332270240e-03	2.898129e-01	-3.107783e-01
2.003951069296881e-03	2.922672e-01	-3.107297e-01
2.005020428484720e-03	2.930204e-01	-3.106630e-01
2.006640980891837e-03	2.930859e-01	-3.105623e-01
2.250099999999998e-03	2.791628e-01	-2.958021e-01
2.250109999999996e-03	2.790310e-01	-2.717382e-01
2.250129999999996e-03	2.780997e-01	-2.002845e-01
2.250159999999998e-03	2.736619e-01	-5.377534e-02
2.250199999999997e-03	2.630728e-01	1.701725e-01
2.250203999999999e-03	2.611352e-01	1.901050e-01
2.250211999999998e-03	2.569225e-01	2.223814e-01
2.250227999999996e-03	2.472342e-01	2.622583e-01
2.250254827532282e-03	2.286889e-01	2.922924e-01
2.250283902490199e-03	2.068213e-01	3.021035e-01
2.250321291514104e-03	1.781297e-01	3.040320e-01
2.250375028131291e-03	1.391622e-01	3.042879e-01
2.250482501365662e-03	7.073242e-02	3.042696e-01
2.250637577956460e-03	-1.084859e-02	3.042400e-01
2.250794999580766e-03	-7.551003e-02	3.042148e-01
2.250972065098718e-03	-1.295184e-01	3.041907e-01
2.251198462382763e-03	-1.786729e-01	3.041649e-01
2.251467652331994e-03	-2.176761e-01	3.041389e-01
2.251793781211577e-03	-2.466456e-01	3.041120e-01
2.252175341427826e-03	-2.655667e-01	3.040841e-01
2.252644172228705e-03	-2.770761e-01	3.040527e-01
2.253220057192851e-03	-2.830906e-01	3.040162e-01
2.253974819656064e-03	-2.857556e-01	3.039697e-01
2.254999015689006e-03	-2.866079e-01	3.039072e-01
2.256550487464478e-03	-2.867115e-01	3.038129e-01
2.264528089498764e-03	-2.862652e-01	3.033287e-01
2.499999999999999e-03	-2.730963e-01	2.893743e-01
2.500010000000000e-03	-2.729645e-01	2.653095e-01
2.500030000000000e-03	-2.720331e-01	1.938550e-01
2.500059999999998e-03	-2.675953e-01	4.734649e-02
2.500099999999998e-03	-2.570061e-01	-1.765983e-01
2.500104000000000e-03	-2.550684e-01	-1.965305e-01
2.500111999999999e-03	-2.508557e-01	-2.288066e-01
2.500127999999997e-03	-2.411684e-01	-2.686976e-01
2.500154758185144e-03	-2.226739e-01	-2.986909e-01
2.500183793498145e-03	-2.008380e-01	-3.085151e-01
2.500221069288908e-03	-1.722307e-01	-3.104561e-01
2.500274672105077e-03	-1.333436e-01	-3.107154e-01
2.500381877737417e-03	-6.503927e-02	-3.106975e-01
2.500537114069650e-03	1.669166e-02	-3.106676e-01
2.500694512218196e-03	8.128515e-02	-3.106422e-01
2.500877245700167e-03	1.368038e-01	-3.106171e-01
2.501105526237966e-03	1.859406e-01	-3.105909e-01
2.501380520493465e-03	2.251622e-01	-3.105642e-01
2.501708964474304e-03	2.536993e-01	-3.105367e-01
2.502098373679987e-03	2.724122e-01	-3.105079e-01
2.502572610319376e-03	2.835868e-01	-3.104757e-01
2.503162328179907e-03	2.894013e-01	-3.104377e-01
2.503931448744182e-03	2.919133e-01	-3.103893e-01
2.504989634731020e-03	2.926914e-01	-3.103234e-01
2.506595063465462e-03	2.927654e-01	-3.102238e-01
2.750099999999998e-03	2.788559e-01	-2.954777e-01
2.750109458583484e-03	2.787465e-01	-2.734685e-01
2.750128375750460e-03	2.778468e-01	-2.064605e-01
2.750162165666047e-03	2.728492e-01	-4.145829e-02
2.750199999999998e-03	2.628113e-01	1.704679e-01
2.750203783433394e-03	2.609872e-01	1.895054e-01
2.750211350300184e-03	2.570340e-01	2.206671e-01
2.750226484033762e-03	2.479457e-01	2.597310e-01
2.750253617980869e-03	2.293071e-01	2.917802e-01
2.750282155430051e-03	2.079119e-01	3.022538e-01
2.750319428486199e-03	1.792740e-01	3.043272e-01
2.750370829763562e-03	1.417915e-01	3.046128e-01
2.750473632318284e-03	7.570555e-02	3.045967e-01
2.750628316412207e-03	-6.748463e-03	3.045669e-01
2.750785422085688e-03	-7.238322e-02	3.045413e-01
2.750959316772893e-03	-1.264542e-01	3.045174e-01
2.751183702825750e-03	-1.762829e-01	3.044916e-01
2.751449333567770e-03	-2.158360e-01	3.044657e-01
2.751773060892661e-03	-2.455329e-01	3.044387e-01
2.752149750145073e-03	-2.649471e-01	3.044109e-01
2.752613939168952e-03	-2.768773e-01	3.043797e-01
2.753180908387193e-03	-2.831464e-01	3.043437e-01
2.753924479998077e-03	-2.859688e-01	3.042977e-01
2.754926245830926e-03	-2.868924e-01	3.042365e-01
2.756438443561431e-03	-2.870211e-01	3.041445e-01
2.758995231353860e-03	-2.868899e-01	3.039890e-01
2.999999999999999e-03	-2.733883e-01	2.896837e-01
3.000010000000001e-03	-2.732565e-01	2.656189e-01
3.000030000000001e-03	-2.723250e-01	1.941644e-01
3.000059999999999e-03	-2.678872e-01	4.765587e-02
3.000099999999999e-03	-2.572981e-01	-1.762891e-01
3.000104000000000e-03	-2.553604e-01	-1.962213e-01
3.000111999999999e-03	-2.511477e-01	-2.284974e-01
3.000127999999998e-03	-2.414604e-01	-2.683877e-01
3.000154761526368e-03	-2.229634e-01	-2.983829e-01
3.000183798749789e-03	-2.011259e-01	-3.082066e-01
3.000221079994803e-03	-1.725146e-01	-3.101469e-01
3.000274689256066e-03	-1.336236e-01	-3.104061e-01
3.000381907778592e-03	-6.531322e-02	-3.103882e-01
3.000537135993363e-03	1.641029e-02	-3.103583e-01
3.000694535298259e-03	8.100699e-02	-3.103329e-01
3.000876999730600e-03	1.364542e-01	-3.103079e-01
3.001105191302620e-03	1.855920e-01	-3.102817e-01
3.001379909097941e-03	2.248034e-01	-3.102549e-01
3.001708242514528e-03	2.533610e-01	-3.102275e-01
3.002097276355233e-03	2.720838e-01	-3.101988e-01
3.002571253800778e-03	2.832742e-01	-3.101666e-01
3.003160306810013e-03	2.890981e-01	-3.101286e-01
3.003928735361993e-03	2.916172e-01	-3.100803e-01
3.004985274412338e-03	2.923987e-01	-3.100146e-01
3.006588076014626e-03	2.924741e-01	-3.099152e-01
3.250099999999999e-03	2.785782e-01	-2.951830e-01
3.250109892898083e-03	2.784511e-01	-2.715294e-01
3.250129678694251e-03	2.775261e-01	-2.009524e-01
3.250160428407662e-03	2.729782e-01	-5.077498e-02
3.250199999999998e-03	2.624981e-01	1.707938e-01
3.250203957159230e-03	2.605828e-01	1.905497e-01
3.250211871477698e-03	2.564215e-01	2.226081e-01
3.250227700114634e-03	2.468523e-01	2.623318e-01
3.250254576894797e-03	2.282959e-01	2.927449e-01
3.250283543008197e-03	2.065236e-01	3.026869e-01
3.250320894766671e-03	1.778529e-01	3.046452e-01
3.250374149337345e-03	1.391897e-01	3.049072e-01
3.250480658478695e-03	7.123800e-02	3.048894e-01
3.250635640692643e-03	-1.051770e-02	3.048598e-01
3.250793000976016e-03	-7.537226e-02	3.048345e-01
3.250969910534390e-03	-1.295268e-01	3.048103e-01
3.251196074337222e-03	-1.788197e-01	3.047845e-01
3.251465034856488e-03	-2.179535e-01	3.047584e-01
3.251790882763762e-03	-2.470326e-01	3.047314e-01
3.252172116860300e-03	-2.660349e-01	3.047035e-01
3.252640473582737e-03	-2.775994e-01	3.046721e-01
3.253215708313606e-03	-2.836473e-01	3.046356e-01
3.253969414851617e-03	-2.863301e-01	3.045890e-01
3.254991865090491e-03	-2.871899e-01	3.045265e-01
3.256539804079681e-03	-2.872957e-01	3.044322e-01
3.264492297282113e-03	-2.868502e-01	3.039485e-01
3.500000000000000e-03	-2.736524e-01	2.899641e-01
3.500010000000001e-03	-2.735206e-01	2.658990e-01
3.500030000000001e-03	-2.725892e-01	1.944444e-01
3.500059999999999e-03	-2.681514e-01	4.793581e-02
3.500099999999999e-03	-2.575622e-01	-1.760093e-01
3.500104000000000e-03	-2.556246e-01	-1.959415e-01
3.500112000000000e-03	-2.514119e-01	-2.282176e-01
3.500127999999998e-03	-2.417245e-01	-2.681073e-01
3.500154764550813e-03	-2.232253e-01	-2.981043e-01
3.500183803503719e-03	-2.013865e-01	-3.079274e-01
3.500221089682655e-03	-1.727714e-01	-3.098672e-01
3.500274704778567e-03	-1.338770e-01	-3.101262e-01
3.500381934970393e-03	-6.556109e-02	-3.101083e-01
3.500537155880168e-03	1.615572e-02	-3.100784e-01
3.500694556229395e-03	8.075534e-02	-3.100530e-01
3.500876776911195e-03	1.361378e-01	-3.100280e-01
3.501104887846579e-03	1.852765e-01	-3.100019e-01
3.501379355258325e-03	2.244787e-01	-3.099751e-01
3.501707588564332e-03	2.530547e-01	-3.099478e-01
3.502096282576514e-03	2.717866e-01	-3.099191e-01
3.502570025423320e-03	2.829912e-01	-3.098869e-01
3.503158476811357e-03	2.888236e-01	-3.098490e-01
3.503926279328901e-03	2.913493e-01	-3.098008e-01
3.504981329231657e-03	2.921339e-01	-3.097352e-01
3.506581756509437e-03	2.922105e-01	-3.096361e-01
3.750099999999999e-03	2.783270e-01	-2.949167e-01
3.750109999999997e-03	2.781951e-01	-2.708525e-01
3.750129999999997e-03	2.772638e-01	-1.993986e-01
3.750159999999999e-03	2.728260e-01	-5.288952e-02
3.750199999999999e-03	2.622369e-01	1.710579e-01
3.750204000000000e-03	2.602992e-01	1.909903e-01
3.750211999999999e-03	2.560866e-01	2.232667e-01
3.750227999999998e-03	2.463984e-01	2.631455e-01
3.750254817987946e-03	2.278601e-01	2.931740e-01
3.750283887490317e-03	2.059969e-01	3.029869e-01
3.750321260924533e-03	1.773169e-01	3.049171e-01
3.750374979122617e-03	1.383604e-01	3.051735e-01
3.750482415518785e-03	6.994788e-02	3.051553e-01
3.750637513044410e-03	-1.165326e-02	3.051257e-01
3.750794931500743e-03	-7.630519e-02	3.051004e-01
3.750972787935739e-03	-1.305251e-01	3.050762e-01
3.751199449130348e-03	-1.796774e-01	3.050503e-01
3.751469446512390e-03	-2.187117e-01	3.050242e-01
3.751795896607540e-03	-2.476205e-01	3.049972e-01
3.752178544683946e-03	-2.665127e-01	3.049692e-01
3.752648122890789e-03	-2.779750e-01	3.049378e-01
3.753225916372917e-03	-2.839613e-01	3.049010e-01
3.753982654686634e-03	-2.866047e-01	3.048542e-01
3.755011505836358e-03	-2.874464e-01	3.047913e-01
3.756570334359423e-03	-2.875457e-01	3.046962e-01
3.775332004298790e-03	-2.864798e-01	3.035557e-01
4.000000000000000e-03	-2.738914e-01	2.902169e-01
4.000010000000002e-03	-2.737597e-01	2.661521e-01
4.000030000000002e-03	-2.728283e-01	1.946977e-01
4.000060000000000e-03	-2.683904e-01	4.818911e-02
4.000099999999999e-03	-2.578013e-01	-1.757561e-01
4.000104000000001e-03	-2.558636e-01	-1.956883e-01
4.000112000000000e-03	-2.516509e-01	-2.279645e-01
4.000127999999999e-03	-2.419635e-01	-2.678536e-01
4.000154767284159e-03	-2.234623e-01	-2.978522e-01
4.000183807799665e-03	-2.016222e-01	-3.076747e-01
4.000221098444088e-03	-1.730038e-01	-3.096141e-01
4.000274718812296e-03	-1.341062e-01	-3.098729e-01
4.000381959548712e-03	-6.578538e-02	-3.098550e-01
4.000537173878743e-03	1.592538e-02	-3.098252e-01
4.000694575170095e-03	8.052763e-02	-3.097997e-01
4.000876575031467e-03	1.358515e-01	-3.097748e-01
4.001104612882309e-03	1.849909e-01	-3.097486e-01
4.001378853529396e-03	2.241848e-01	-3.097220e-01
4.001706996185010e-03	2.527775e-01	-3.096946e-01
4.002095382531986e-03	2.715176e-01	-3.096659e-01
4.002568913025358e-03	2.827351e-01	-3.096339e-01
4.003156819967078e-03	2.885753e-01	-3.095960e-01
4.003924056072250e-03	2.911068e-01	-3.095479e-01
4.004977759293073e-03	2.918943e-01	-3.094825e-01
4.006576040286695e-03	2.919720e-01	-3.093835e-01
4.250100000000000e-03	2.780996e-01	-2.946763e-01
4.250109999999998e-03	2.779678e-01	-2.706117e-01
4.250129999999998e-03	2.770364e-01	-1.991576e-01
4.250159999999999e-03	2.725986e-01	-5.264858e-02
4.250199999999999e-03	2.620096e-01	1.712988e-01
4.250204000000000e-03	2.600719e-01	1.912312e-01
4.250212000000000e-03	2.558592e-01	2.235075e-01
4.250227999999998e-03	2.461711e-01	2.633868e-01
4.250254815392693e-03	2.276347e-01	2.934138e-01
4.250283883411754e-03	2.057726e-01	3.032272e-01
4.250321252604210e-03	1.770958e-01	3.051579e-01
4.250374965794466e-03	1.381423e-01	3.054143e-01
4.250482392174983e-03	6.973449e-02	3.053962e-01
4.250637495452982e-03	-1.187216e-02	3.053666e-01
4.250794913044476e-03	-7.652150e-02	3.053413e-01
4.250972984046551e-03	-1.307987e-01	3.053170e-01
4.251199716777086e-03	-1.799504e-01	3.052911e-01
4.251469933348594e-03	-2.189931e-01	3.052650e-01
4.251796470693559e-03	-2.478855e-01	3.052380e-01
4.252179414309370e-03	-2.667699e-01	3.052099e-01
4.252649195672864e-03	-2.782194e-01	3.051785e-01
4.253227508127795e-03	-2.841981e-01	3.051417e-01
4.253984784018523e-03	-2.868356e-01	3.050948e-01
4.255014902914602e-03	-2.876745e-01	3.050317e-01
4.256575736767829e-03	-2.877726e-01	3.049365e-01
4.275377644451260e-03	-2.867033e-01	3.037926e-01
4.500000000000001e-03	-2.741077e-01	2.904460e-01
4.500010000000002e-03	-2.739759e-01	2.663814e-01
4.500030000000002e-03	-2.730445e-01	1.949269e-01
4.500060000000000e-03	-2.686067e-01	4.841831e-02
4.500100000000000e-03	-2.580176e-01	-1.755270e-01
4.500104000000001e-03	-2.560799e-01	-1.954592e-01
4.500112000000001e-03	-2.518672e-01	-2.277354e-01
4.500127999999999e-03	-2.421797e-01	-2.676240e-01
4.500154769758589e-03	-2.236767e-01	-2.976241e-01
4.500183811688856e-03	-2.018355e-01	-3.074462e-01
4.500221106372833e-03	-1.732141e-01	-3.093850e-01
4.500274731514438e-03	-1.343136e-01	-3.096438e-01
4.500381981797648e-03	-6.598833e-02	-3.096259e-01
4.500537190200715e-03	1.571698e-02	-3.095960e-01
4.500694592343348e-03	8.032162e-02	-3.095706e-01
4.500876392190413e-03	1.355923e-01	-3.095457e-01
4.501104363818832e-03	1.847324e-01	-3.095196e-01
4.501378399122031e-03	2.239188e-01	-3.094929e-01
4.501706459707794e-03	2.525267e-01	-3.094656e-01
4.502094567540482e-03	2.712741e-01	-3.094369e-01
4.502567905839826e-03	2.825034e-01	-3.094049e-01
4.503155320114201e-03	2.883506e-01	-3.093671e-01
4.503922043787138e-03	2.908874e-01	-3.093190e-01
4.504974529177558e-03	2.916774e-01	-3.092537e-01
4.506570869990442e-03	2.917562e-01	-3.091550e-01
